Sample nbr,Eff pressure,Corr poros,Vp dry,Vs dry,Vp wet,Vs wet
1650.2,30,0.326,2.301,1.503,2.513,1.315
1652.15,30,0.364,2.039,1.327,2.434,1.212
1654.15,30,0.344,2.292,1.457,2.499,
1656.1,30,0.331,2.336,1.503,2.626,1.33
1659.16,30,0.325,2.383,1.535,2.672,1.317
1664.91,30,0.297,2.448,1.561,2.903,1.408
1666.2,30,0.319,2.355,1.447,2.619,1.281
1668.25,30,0.307,2.311,1.527,2.575,1.28
1670.45,30,0.292,2.297,1.508,2.541,
1672,30,0.329,2.224,1.394,2.66,1.27
1675.06,30,0.346,2.213,1.407,2.519,
1677.15,30,0.262,2.337,1.478,2.523,1.266
1679.1,30,0.305,2.515,1.549,2.702,1.348
1681.18,30,0.355,2.369,1.5,2.631,1.351
1683.25,30,0.33,2.288,1.439,2.747,1.392
1685.12,30,0.337,2.38,1.575,2.774,1.286
1689,30,0.337,2.224,1.406,2.678,1.272
1691,30,0.348,2.327,1.407,2.649,1.23
1693.6,30,0.337,2.192,1.378,2.668,
1695.05,30,0.354,2.187,1.377,2.614,1.257
1697.9,30,0.316,2.28,1.447,2.49,1.245
1699.1,30,0.243,2.604,1.735,3.033,1.555
1701.9,30,0.269,2.726,1.727,2.942,1.494
1703.1,30,0.222,2.675,1.74,3.01,1.524
1706.1,30,0.25,2.525,1.676,2.953,1.481
1708.1,30,0.234,2.541,1.659,2.855,1.454
1717.9,30,0.325,2.267,1.464,2.606,1.23
1719.1,30,0.304,2.389,1.505,2.742,
1721.1,30,0.33,2.202,1.392,2.564,1.236
1723.64,30,0.348,2.252,1.441,2.716,1.296
1725.1,30,0.344,2.337,1.541,2.781,1.308
1729.1,30,0.259,2.699,1.708,2.984,1.485
1731.3,30,0.315,2.313,1.487,2.748,1.225
1735.1,30,0.295,2.557,1.707,2.757,1.464
1737.1,30,0.236,2.674,1.763,3.011,1.537
1739.1,30,0.29,2.562,1.632,2.855,1.46
1741.1,30,0.23,2.755,1.834,3.14,1.661
1745.1,30,0.264,2.775,1.757,3.016,1.605
