Sample nbr,Eff pressure,Corr poros,Vp dry,Vs dry,Vp wet,Vs wet
1659.16,5,0.342,1.727,1.217,2.335,1.079
1656.1,5,0.348,1.762,1.219,2.327,1.105
1693.6,5,0.354,1.755,1.204,2.327,
1695.05,5,0.371,,1.099,2.254,
1691,5,0.365,,,2.353,1.055
1668.25,5,0.324,,1.243,0.324,
1654.15,5,0.361,1.72,1.177,2.223,
1652.15,5,0.381,1.65,1.088,2.139,
1650.2,5,0.343,,1.204,2.225,1.098
1683.25,5,0.347,,1.148,,1.157
1681.18,5,0.372,,1.264,2.38,1.2
1679.1,5,0.322,1.992,,2.35,1.122
1677.15,5,0.279,,1.259,2.277,1.96
1675.06,5,0.363,1.457,1.052,2.146,
1664.91,5,0.314,,1.254,2.597,
1708.1,5,0.251,,1.339,2.53,1.186
1737.1,5,0.253,,1.401,2.567,1.207
1739.1,5,0.307,,1.442,2.496,
1699.1,5,0.26,1.924,1.39,2.605,1.243
1706.1,5,0.267,2.019,1.416,2.648,1.296
1735.1,5,0.312,,,2.274,1.067
1701.9,5,0.286,,1.356,2.598,1.244
1741.1,5,0.247,2.222,1.511,2.782,1.462
1703.1,5,0.239,2.052,1.403,2.727,1.273
1745.1,5,0.281,2.202,1.566,2.718,
1717.9,5,0.342,1.834,1.235,2.151,1.05
1697.9,5,0.333,1.743,1.13,,
1666.2,5,0.336,,1.191,2.335,1.087
1721.1,5,0.347,1.727,,2.155,
1719.1,5,0.321,,1.11,2.582,
1725.1,5,0.361,1.92,1.291,2.488,
1723.64,5,0.365,1.919,1.292,2.347,
1731.3,5,0.332,1.923,1.312,2.462,
1729.1,5,0.276,2.046,1.409,2.678,
1672,5,0.346,1.774,1.213,2.343,
1689,5,0.354,1.84,1.234,2.314,
1685.12,5,0.354,1.785,1.209,2.447,1.042
1670.45,5,0.309,,,2.246,
