Sample nbr,Eff pressure,Corr poros,Vp dry,Vs dry,Vp wet,Vs wet
1659.16,25,0.328,2.332,1.522,2.592,1.281
1656.1,25,0.334,2.29,1.493,2.604,1.298
1693.6,25,0.34,2.159,1.362,2.644,
1695.05,25,0.357,2.146,1.352,2.586,1.214
1691,25,0.351,2.307,1.385,2.607,1.203
1668.25,25,0.31,2.256,1.506,2.556,1.244
1654.15,25,0.347,2.215,1.446,2.46,
1652.15,25,0.367,1.993,1.309,2.41,1.191
1650.2,25,0.329,2.262,1.492,2.507,1.302
1683.25,25,0.333,2.089,1.385,2.663,1.339
1681.18,25,0.358,2.364,1.498,2.597,1.338
1679.1,25,0.308,2.459,1.522,2.674,1.328
1677.15,25,0.265,2.306,1.462,2.498,1.229
1675.06,25,0.349,2.154,1.39,2.477,
1664.91,25,0.3,2.42,1.555,2.834,1.366
1708.1,25,0.237,2.499,1.646,2.835,1.426
1737.1,25,0.239,2.627,1.738,2.957,1.483
1739.1,25,0.293,2.542,1.61,2.826,1.438
1699.1,25,0.246,2.573,1.718,2.976,1.494
1706.1,25,0.253,2.473,1.652,2.923,1.471
1735.1,25,0.298,2.534,1.682,2.72,1.457
1701.9,25,0.272,2.611,1.704,2.911,1.482
1741.1,25,0.233,2.735,1.826,3.101,1.641
1703.1,25,0.225,2.636,1.724,2.989,1.501
1745.1,25,0.267,2.706,1.724,2.964,1.587
1717.9,25,0.328,2.228,1.453,2.591,1.226
1697.9,25,0.319,2.229,1.421,2.487,1.224
1666.2,25,0.322,2.332,1.431,2.585,1.248
1721.1,25,0.333,2.161,1.373,2.549,1.213
1719.1,25,0.307,2.362,1.488,2.718,
1725.1,25,0.347,2.295,1.526,2.734,1.287
1723.64,25,0.351,2.214,1.414,2.669,1.23
1731.3,25,0.318,2.269,1.474,2.724,1.204
1729.1,25,0.262,2.639,1.675,2.952,1.4
1672,25,0.332,2.166,1.382,2.631,1.247
1689,25,0.34,2.187,1.388,2.646,1.231
1685.12,25,0.34,2.353,1.567,2.745,1.247
1670.45,25,0.295,2.263,1.493,2.517,
