Sample nbr,Porosity,Eff pressure,Direction,Vp dry,Vs dry,Vp wet,Vs wet
367 P,0.3022,25,1,3.1499,2.0437,3.4575,
158 P,0.2534,25,1,3.5013,2.2054,3.7598,
174 P,0.2613,25,1,3.5818,2.3999,3.8798,
147 P,0.2935,25,1,3.2506,2.0323,3.5847,
200 P,0.2628,25,1,3.4419,2.1465,3.6724,
136 P,0.276,25,1,3.318,2.1127,3.6605,
218 P,0.2886,25,1,3.2921,2.0582,3.5748,
236 P,0.2567,25,1,3.3411,2.0851,3.641,2.0818
331 P,0.2023,25,1,4.0112,2.653,4.2269,
27 P,0.2421,25,1,3.1635,2.0056,3.4931,1.9819
55 P,0.2512,25,1,3.1103,1.9936,3.415,1.8731
355 P,0.2741,25,1,3.4118,2.1225,3.5885,
18 P,0.2459,25,1,3.6406,2.3046,3.9128,
31 P,0.2353,25,1,3.0732,2.0112,3.4521,1.934
77 P,0.2784,25,1,3.3289,2.0675,3.491,1.9625
195 P,0.2709,25,1,3.4071,2.1425,3.6371,
65 P,0.2677,25,1,3.0897,2.004,3.4032,1.9184
22 P,0.1498,25,1,2.963,1.924,3.4993,1.9372
111 P,0.2005,25,1,3.3399,2.1112,3.5614,1.9773
183 P,0.2219,25,1,3.5493,2.2668,3.8328,
307 P,0.2446,25,1,3.629,2.2661,,
166 P,0.2263,25,1,3.793,2.3967,4.0404,
128 P,0.3024,25,1,3.3893,2.0427,3.4665,
46 P,0.1927,25,1,3.336,2.1464,3.5571,1.9921
247 P,0.2286,25,1,3.6086,2.3315,3.7812,
206 P,0.2356,25,1,3.6257,2.3345,3.7678,2.1633
343 P,0.3206,25,1,3.3502,2.137,3.6772,
379 P,0.3193,25,1,3.2421,2.0693,3.4789,
90 P,0.1386,25,1,3.4307,2.3336,3.8609,2.188
102 P,0.129,25,1,3.5492,2.2952,3.9984,2.2827
27 V,0.225,25,2,,,3.727,2.1714
27 H,0.223,25,3,,,3.8332,2.1
117 P,0.0643,25,1,3.4005,2.3211,,
319 P,0.3157,25,1,3.3472,2.0554,,
6:00 PM,0.017,25,1,4.1667,2.644,,
121 P,0.0693,25,1,3.3384,2.1311,,
112 P,0.1892,25,1,3.3473,2.0382,3.6375,1.8771
122 P,0.1025,25,1,3.5402,2.193,3.9942,2.2209
122 H,0.1032,25,3,4.3471,2.6213,,
110 P,0.1806,25,1,3.2841,,3.6554,
120 P,0.1424,25,1,3.4756,2.1982,3.8436,2.215
120 H,0.1458,25,3,3.9374,2.4342,,
2:00 PM,0.1029,25,1,3.3598,2.0837,,
2 H,0.0981,25,3,3.7057,2.3642,,
118 P,0.0644,25,1,3.7355,2.5527,,
118 H,0.0436,25,3,4.5292,,,
4:00 PM,0.0796,25,1,3.4383,2.1781,,
10:00 PM,0.0745,25,1,3.4868,2.1778,,
8:00 PM,0.0665,25,1,3.5235,2.1567,,
12:00 PM,0.0522,25,1,3.3087,2.0696,,
96 P,0.2561,25,1,3.1943,2.0431,3.5403,1.9498
124 P,0.0849,25,1,3.7752,2.3914,,
116 P,0.1372,25,1,3.4767,2.1945,,
36 P,0.1517,25,1,3.2503,2.1089,3.6767,2.1019
48 P,0.1998,25,1,3.2033,2.0246,3.6391,2.0851
38 P,0.1362,25,1,3.3787,2.1008,,
42 P,0.1145,25,1,3.1928,2.0503,,
86 P,0.1937,25,1,3.3329,2.0721,3.6623,2.0824
40 P,0.1578,25,1,3.3037,2.0514,,
40 H,0.0902,25,3,4.5887,2.7482,,
82 P,0.2302,25,1,3.4119,2.1292,3.6979,2.131
112 P,0.1812,25,1,3.2339,2.0336,,
