Sample nbr,Eff pressure,Corr poros,Vp dry,Vs dry,Vp wet,Vs wet
1650.2,10,0.339,1.849,1.293,2.372,1.154
1652.15,10,0.377,1.719,1.145,2.267,1.059
1654.15,10,0.357,1.924,1.279,2.329,
1656.1,10,0.344,1.974,1.316,2.442,1.171
1659.16,10,0.338,1.875,1.307,2.432,1.137
1664.91,10,0.31,2.112,1.394,2.679,
1666.2,10,0.332,2.057,1.295,2.433,1.132
1668.25,10,0.32,1.928,1.318,2.311,1.094
1670.45,10,0.305,,,2.321,
1672,10,0.342,1.84,1.243,2.427,
1675.06,10,0.359,1.781,1.236,2.273,
1677.15,10,0.275,2.016,1.316,2.365,1.14
1679.1,10,0.318,2.094,1.348,2.464,1.174
1681.18,10,0.368,2.053,1.335,2.471,1.254
1683.25,10,0.343,,1.221,2.463,1.202
1685.12,10,0.35,1.979,1.329,2.562,1.104
1689,10,0.35,1.916,1.258,2.439,1.112
1691,10,0.361,,,2.451,1.091
1693.6,10,0.35,1.897,1.258,2.402,
1695.05,10,0.367,1.745,1.206,2.387,1.098
1697.9,10,0.329,1.943,1.263,2.336,1.125
1699.1,10,0.256,2.205,1.512,2.714,1.35
1701.9,10,0.282,2.25,1.509,2.714,1.388
1703.1,10,0.235,2.236,1.483,2.812,1.396
1706.1,10,0.263,2.13,1.507,2.692,1.33
1708.1,10,0.247,,1.466,2.636,1.251
1717.9,10,0.338,2.006,1.317,2.301,1.131
1719.1,10,0.317,2.021,1.314,2.269,
1721.1,10,0.343,1.836,1.224,2.319,
1723.64,10,0.361,2.016,1.328,2.49,1.095
1725.1,10,0.357,2.065,1.381,2.571,1.12
1729.1,10,0.272,2.26,1.59,2.783,1.27
1731.3,10,0.328,2.052,1.357,2.526,
1735.1,10,0.308,2.009,1.393,2.425,1.135
1737.1,10,0.249,2.276,1.532,2.759,1.345
1739.1,10,0.303,2.24,1.458,2.594,1.342
1741.1,10,0.243,2.418,1.655,2.948,1.539
1745.1,10,0.277,2.449,1.583,2.817,1.555
