Sample nbr,Eff pressure,Corr poros,Vp dry,Vs dry,Vp wet,Vs wet
1659.16,20,0.332,2.265,1.479,2.562,1.258
1656.1,20,0.338,2.223,1.456,2.576,1.267
1693.6,20,0.344,2.095,1.333,2.578,
1695.05,20,0.361,2.094,1.326,2.501,1.147
1691,20,0.355,2.243,1.352,2.557,1.155
1668.25,20,0.314,2.168,1.479,2.512,1.204
1654.15,20,0.351,2.191,1.417,2.429,
1652.15,20,0.371,1.915,1.276,2.387,1.164
1650.2,20,0.333,2.165,1.458,2.442,1.26
1683.25,20,0.337,2.008,1.351,2.601,1.3
1681.18,20,0.362,2.27,1.456,2.607,1.318
1679.1,20,0.312,2.35,1.457,2.602,1.286
1677.15,20,0.269,2.242,1.439,2.452,1.184
1675.06,20,0.353,2.063,1.326,2.42,
1664.91,20,0.304,2.365,1.529,2.778,1.306
1708.1,20,0.241,2.432,1.617,2.782,1.344
1737.1,20,0.243,2.582,1.719,2.9,1.461
1739.1,20,0.297,2.377,1.542,2.792,1.418
1699.1,20,0.25,2.51,1.69,2.905,1.466
1706.1,20,0.257,2.403,1.626,2.899,1.446
1735.1,20,0.302,2.439,1.65,2.595,1.39
1701.9,20,0.276,2.548,1.687,2.857,1.474
1741.1,20,0.237,2.627,1.783,3.061,1.601
1703.1,20,0.229,2.552,1.697,2.943,1.477
1745.1,20,0.271,2.681,1.703,2.954,1.577
1717.9,20,0.332,2.179,1.44,2.548,1.206
1697.9,20,0.323,2.159,1.391,2.449,1.185
1666.2,20,0.326,2.274,1.397,2.558,1.228
1721.1,20,0.337,2.102,1.343,2.504,1.165
1719.1,20,0.311,2.29,1.454,2.556,
1725.1,20,0.351,2.243,1.492,2.709,1.244
1723.64,20,0.355,2.181,1.393,2.669,1.176
1731.3,20,0.322,2.222,1.455,2.642,1.175
1729.1,20,0.266,2.525,1.662,2.894,1.374
1672,20,0.336,2.117,1.366,2.583,1.182
1689,20,0.344,2.15,1.374,2.6,1.208
1685.12,20,0.344,2.223,1.487,2.696,1.18
1670.45,20,0.299,2.153,1.45,2.456,
